A sensação de insegurança e a debilidade de o poder público eram sem dúvida características de os Estados Unidos de o final de o século 18 , quando ( segundo a versão mais aceita ) a palavra teria sido inventada a partir de a prática adotada por um juiz Lynch , de condenar e executar seus adversários sem o devido processo legal .
MESSAGE|:|.
Liste as relações de dependência sintática na sentença "A sensação de insegurança e a debilidade de o poder público eram sem dúvida características de os Estados Unidos de o final de o século 18 , quando ( segundo a versão mais aceita ) a palavra teria sido inventada a partir de a prática adotada por um juiz Lynch , de condenar e executar seus adversários sem o devido processo legal .", usando o formato (token dependente -> token cabeça).
REPLY|:|A -> sensação
sensação -> de
de -> insegurança
sensação -> e
e -> debilidade
debilidade -> de
de -> poder
poder -> o
o -> público
insegurança -> de
de -> os
os -> Estados
Estados -> Unidos
Unidos -> de
de -> o
o -> final
final -> de
de -> o
o -> século
século -> 18
18 -> ,
, -> quando
quando -> (
( -> segundo
segundo -> versão
versão -> mais
mais -> aceita
aceita -> )
) -> a
a -> palavra
palavra -> teria
teria -> sido
sido -> inventada
inventada -> a
a -> partir
partir -> de
de -> a
a -> prática
prática -> adotada
adotada -> por
por -> um
um -> juiz
juiz -> Lynch
Lynch -> ,
, -> de
de -> condenar
condenar -> e
e -> executar
executar -> seus
seus -> adversários
adversários -> sem
sem -> o
o -> devido
devido -> processo
processo -> legal
devido -> .
. ->
REFINE [sensação]
REFINE [sensação]
REFINE [sensação]
REFINE [sensação]
REFINE [sensação]
REFINE [sensação]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [insegurança]
REFINE [insegurança]
REFINE [insegurança]
REFINE [insegurança]
REFINE [insegurança]
-----------END REFINE---------
REFINE [sensação]
REFINE [sensação]
REFINE [sensação]
REFINE [sensação]
REFINE [sensação]
REFINE [sensação]
-----------END REFINE---------
REFINE [e]
REFINE [e]
REFINE [e]
REFINE [e]
REFINE [e]
-----------END REFINE---------
REFINE [e]
REFINE [e]
REFINE [e]
REFINE [e]
REFINE [e]
REFINE [e]
-----------END REFINE---------
REFINE [debilidade]
REFINE [debilidade]
REFINE [debilidade]
REFINE [debilidade]
REFINE [debilidade]
-----------END REFINE---------
REFINE [debilidade]
REFINE [debilidade]
REFINE [debilidade]
REFINE [debilidade]
REFINE [debilidade]
REFINE [debilidade]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [poder]
REFINE [poder]
REFINE [poder]
REFINE [poder]
REFINE [poder]
-----------END REFINE---------
REFINE [poder]
REFINE [poder]
REFINE [poder]
REFINE [poder]
REFINE [poder]
REFINE [poder]
-----------END REFINE---------
REFINE [o]
REFINE [o]
REFINE [o]
REFINE [o]
REFINE [o]
-----------END REFINE---------
REFINE [o]
REFINE [o]
REFINE [o]
REFINE [o]
REFINE [o]
REFINE [o]
-----------END REFINE---------
REFINE [público]
REFINE [público]
REFINE [público]
REFINE [público]
REFINE [público]
-----------END REFINE---------
REFINE [insegurança]
REFINE [insegurança]
REFINE [insegurança]
REFINE [insegurança]
REFINE [insegurança]
REFINE [insegurança]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [os]
REFINE [os]
REFINE [os]
REFINE [os]
REFINE [os]
-----------END REFINE---------
REFINE [os]
REFINE [os]
REFINE [os]
REFINE [os]
REFINE [os]
REFINE [os]
-----------END REFINE---------
REFINE [Estados]
REFINE [Estados]
REFINE [Estados]
REFINE [Estados]
REFINE [Estados]
-----------END REFINE---------
REFINE [Estados]
REFINE [Estados]
REFINE [Estados]
REFINE [Estados]
REFINE [Estados]
REFINE [Estados]
-----------END REFINE---------
